trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
24,PLR122,unexpected_b,post,1003,4808,11,0,NaN,1177.8765,98.6372,-45.0488,74.6676,167.8693,199.5441
25,PLR122,anticipated_w,pre,1003,4812,6,0,NaN,1182.1251,-86.9093,-148.8562,-7.9382,194.1816,265.5336
26,PLR122,anticipated_b,pre,1002,4812,9,0,NaN,1367.4582,13.5966,-86.7608,-106.2313,109.3948,229.9466
27,PLR122,anticipated_w,pre,1002,4810,7,1,6338,1336.8406,15.8168,-152.0346,-364.0129,-40.8385,70.0006
28,PLR122,anticipated_w,pre,1003,4810,8,0,NaN,1283.0677,-55.4163,-122.3612,-49.6245,9.7159,-1.409
29,PLR122,anticipated_w,pre,1002,4808,9,0,NaN,1423.4263,5.9245,-171.7942,-230.8492,-108.4284,-61.5692
30,PLR122,anticipated_w,pre,1002,4812,10,0,NaN,1168.5904,47.4813,20.9075,176.3487,203.3151,234.9096
31,PLR122,anticipated_w,post,1003,4812,11,1,6340,1287.4821,50.0132,6.6029,-190.919,8.1776,100.2957
32,PLR122,anticipated_w,post,1002,4810,12,0,NaN,1521.4648,-266.4912,-222.1743,-196.9059,-226.5698,-180.6394
33,PLR122,unexpected_w,post,1003,4810,12,0,NaN,1446.6773,-33.9583,-107.0302,-34.7067,160.7765,205.8068
34,PLR122,anticipated_b,pre,1002,4808,10,0,NaN,1101.6972,110.6815,142.5401,266.9667,385.9204,314.8663
35,PLR122,unexpected_w,post,1003,4810,13,0,NaN,1045.4781,92.0324,88.9772,-27.6714,226.545,303.1489
36,PLR122,anticipated_b,post,1003,4812,11,0,NaN,1313.1275,167.1199,201.3845,273.9355,294.7191,284.4836
37,PLR122,anticipated_b,post,1003,4810,12,0,NaN,1302.2655,-14.3843,140.4781,155.4199,155.2761,224.9011
38,PLR122,anticipated_w,post,1003,4812,13,0,NaN,1365.6534,38.1785,-99.5856,-178.3719,106.0063,180.6323
39,PLR122,unexpected_w,post,1002,4810,14,0,NaN,1381.4064,61.7512,-129.4557,-317.482,-113.6039,-57.6365
40,PLR122,anticipated_b,post,1003,4810,13,1,6338,1180.4999,39.8154,139.7009,190.1051,312.4328,414.9366
41,PLR122,anticipated_b,post,1003,4812,14,0,NaN,1134.6733,-32.5117,14.6102,0.024172,45.3765,-41.7725
