trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4
50,PLR126,unexpected_b,post,1003,4812,17,0,1909.44,55.4889,-188.101,-521.7782,-131.4421
51,PLR126,anticipated_w,post,1002,4808,18,1,1736.042,33.5798,-3.6512,-122.0315,8.8488
52,PLR126,unexpected_w,post,1003,4812,18,0,1542.616,133.1613,97.3386,193.5416,390.3336
53,PLR126,anticipated_b,post,1003,4810,17,1,1925.202,60.027,88.3316,-166.7167,106.9009
54,PLR126,anticipated_b,post,1003,4812,18,0,1338.912,338.1006,214.1453,263.0922,566.3002
55,PLR126,unexpected_b,post,1003,4810,19,0,1474.838,191.0654,122.4908,24.7972,-120.4873
56,PLR126,anticipated_w,post,1003,4812,19,1,1697.4,39.4355,-111.2466,-337.3638,-86.6038
57,PLR126,anticipated_b,post,1003,4810,19,0,1640.968,257.5572,206.2806,225.9165,362.1728
58,PLR126,anticipated_b,post,1003,4810,20,0,1445.274,279.6945,96.6257,26.288,40.6819
59,PLR126,anticipated_w,post,1003,4812,20,0,1439.328,-18.7047,107.4474,128.777,254.8716
60,PLR126,unexpected_w,post,1003,4810,20,0,1614.016,128.5491,142.9954,-78.5706,113.6542
1,PLR127,anticipated_b,pre,1001,4838,1,1,2164.198,79.8125,362.3965,272.7642,98.7915
2,PLR127,anticipated_w,pre,1002,4812,1,1,2415.586,-64.1679,-249.7015,148.6136,203.9686
3,PLR127,unexpected_b,pre,1002,4810,1,0,2193.888,230.4502,205.8809,-34.4573,-174.1506
4,PLR127,anticipated_b,pre,1002,4810,2,1,1742.218,-203.0457,353.7862,707.948,840.6875
5,PLR127,anticipated_w,pre,1003,4810,2,0,2184.702,-588.786,-552.0192,-553.6033,-662.5276
6,PLR127,anticipated_w,pre,1002,4808,3,1,1894.5762,-129.8599,248.1465,3.6317,77.5162
7,PLR127,anticipated_b,pre,1003,4810,3,0,1721.59,183.9499,147.7419,24.6768,272.1999
8,PLR127,anticipated_b,pre,1002,4810,4,0,1934.148,-585.5198,-226.4736,59.2722,235.186
9,PLR127,anticipated_b,pre,1003,4810,5,0,2094.302,-441.1886,-555.3503,-129.7726,117.9564
10,PLR127,anticipated_b,pre,1003,4810,6,1,2097.388,-342.8502,-813.4195,-512.8313,-220.9657
11,PLR127,unexpected_w,pre,1002,4810,2,0,1681.13,275.3868,3.3509,-484.6132,-103.9409
12,PLR127,anticipated_b,pre,1003,4812,7,0,1671.728,366.167,276.6712,-298.0242,-382.7322
13,PLR127,anticipated_w,pre,1003,4812,4,1,1950.584,-375.8172,-613.7899,-288.8298,115.5084
14,PLR127,unexpected_b,pre,1002,4812,3,0,1542.74,344.7936,397.7516,158.6339,211.01
15,PLR127,anticipated_w,pre,1002,4808,5,0,2075.1512,-464.4622,-461.0798,-163.6533,243.458
16,PLR127,anticipated_w,pre,1002,4810,6,0,2001.946,292.5183,-215.2233,-356.7275,-17.6855
17,PLR127,anticipated_b,pre,1003,4812,8,0,2032.18,67.2381,-188.0624,-354.0539,-403.7976
18,PLR127,anticipated_w,pre,1002,4810,7,0,1545.86,47.619,-62.8117,177.3501,335.2408
19,PLR127,anticipated_w,pre,1002,4810,8,0,1966.2422,191.8515,198.9195,-68.5287,-188.6687
20,PLR127,unexpected_b,pre,1003,4810,4,0,1923.926,111.4332,472.3996,536.0404,766.9185
21,PLR127,anticipated_b,pre,1002,4808,9,1,2126.016,44.4966,-88.3647,-15.7912,196.047
22,PLR127,anticipated_w,pre,1002,4810,9,0,1756.7465,-5.7738,387.1337,263.0497,-361.0133
23,PLR127,anticipated_w,pre,1003,4812,10,0,1740.894,432.7405,538.4905,624.2699,72.9989
24,PLR127,anticipated_b,pre,1002,4810,10,0,1939.346,45.1288,341.8305,356.3599,29.0511
25,PLR127,unexpected_w,pre,1003,4810,5,0,1833.242,-73.5991,-19.7419,261.6918,561.2034
26,PLR127,unexpected_b,pre,1002,4808,6,0,2262.4665,-261.6829,-130.0674,201.4053,314.857
27,PLR127,anticipated_b,post,1002,4810,11,0,2142.694,93.243,-39.9083,-846.3768,-811.7339
28,PLR127,unexpected_b,pre,1003,4812,7,0,2205.496,-178.9309,7.1258,-101.3384,93.1847
29,PLR127,anticipated_w,post,1003,4812,11,0,1751.214,429.0633,547.4541,658.8931,798.2545
30,PLR127,anticipated_b,post,1002,4810,12,0,2221.37,160.276,-73.4267,-161.8637,-33.307
31,PLR127,anticipated_b,post,1002,4808,13,0,2004.062,135.1208,379.0788,-50.8834,266.5136
