trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
1,PLR133,anticipated_b,0,pre,1st,1000,4836,1,1,4523.858,4829.534,4805.733,4912.3089,5119.3822,5382.3194,5557.5003,5539.5834,5143.847,4964.0025,4677.9058,4717.8534,4994.2984,5145.1623,5419.0628,5543.0524,4124.6335,3812.1047,4326.7277,4698.9084,4714.3403
2,PLR133,unexpected_w,1,pre,1st,1002,4810,1,1,5113.102,5183.4084,5085.445,5142.3019,5124.2618,4547.6911,4851.8639,4802.555,4377.1885,4802.6178,5097.267,4704.1164,2981.2436,2391.822,1976.5026,1924.2461,2657.1996,3280.8429,3604.3141,3819.5183,3958.9199
3,PLR133,anticipated_w,1,pre,1st,1002,4810,1,1,4819.774,5068.3351,5139.3351,5226.2094,5378.801,5027.6126,5281.6387,5457.6649,5544.3927,5547.4084,5359.5393,5142.2775,3249.0262,2689.6994,2755.5523,3070.1257,3529.3351,4034.5207,4383.4699,4326.0262,4231.5497
4,PLR133,anticipated_w,1,pre,1st,1002,4810,2,1,4656.894,4845.3874,4882.6564,5067.8006,5143.6545,5036.0209,5081.5183,4986.288,5097.822,4874.5497,5111.2251,4765.3323,3124.8107,2497.6754,2562.6597,2843.7696,3231.1623,3896.5928,4256.5949,4274.7382,4304.5595
5,PLR133,anticipated_w,1,pre,1st,1003,4810,3,1,5016.8777,4924.0314,4962.1572,5123.3279,5154.1204,4973.4241,5000.6911,5095.4346,5125.4136,5175.3665,5144.5759,4598.0785,2736.3403,2446.712,2697.1257,2698.7277,3270.2199,3760.7691,4007.9686,4010.466,4086.9738
6,PLR133,anticipated_b,0,pre,1st,1002,4812,2,1,4469.836,4647.1414,4590.1868,4709.5127,4778.4031,4740.0942,4872.5183,5041.8901,5090.1309,5213.5288,5335.9424,5251.976,5358.1513,5604.3979,5887.9005,5774.6021,4292.371,4364.1244,4603.5131,4304.4896,4437.2262
7,PLR133,anticipated_w,1,pre,1st,1002,4812,4,0,4757.244,4834.1571,4928.1546,4964.7269,5102.1675,4937.3246,4989.8534,4943.5026,5124.2932,5221.2042,5238.3141,5013.2199,3191.5969,2835.2199,3019.1257,2946.8639,3521.2356,4011.2723,4295.9686,4401.3927,4467.1466
8,PLR133,anticipated_b,0,pre,1st,1002,4810,3,1,4726.698,4698.6545,4767.0209,4895.801,5069.7853,4971.7592,5091.2408,5234.1361,5320.4398,5386.3037,5430.9634,5418.245,5448.0093,5619.9581,5810.3613,5668.3403,4295.3717,4250.0805,4761.8745,4868.0838,4582.288
9,PLR133,anticipated_b,0,pre,1st,1002,4810,4,1,4616.264,4866.7644,4888.7161,4962.8976,5059.3194,4947.9529,5082.5393,5169.7906,5239.466,5227.0628,5100.6073,5182.8811,5405.2608,5656.1571,5895.9891,5884.1052,4252.3665,4035.7592,4333.1623,4095.7696,3623.8848
10,PLR133,unexpected_b,0,pre,1st,1002,4808,2,0,4604.948,4846.733,4899.9215,4942.6178,4848.5864,4909.4869,5052.6335,5049.2304,5005.7173,5119.6911,5169.6597,5121.7102,5117.7915,5366.0733,5705.8743,5385.7903,4047.6988,3659.5131,3950.8429,4226.695,4542.1773
11,PLR133,anticipated_b,0,pre,1st,1003,4814,5,0,4429.893,3693.9634,3962.2168,4382.2733,4581.5838,4807.8534,4802.7592,4791.5916,4852.623,4963.4293,5005.7696,5050.6532,5114.1565,5303.6387,5571.199,5489.7173,3751.4666,3570.7936,4008.6387,4129.2723,4104.9791
12,PLR133,unexpected_w,1,pre,1st,1003,4812,3,0,4589.234,4778.6806,4869.623,4816.8901,4975.6806,4824.9005,4904.4503,4965.9948,5030.6126,4825.1361,4862.6597,4298.3049,2584.4277,2246.5236,2239.8953,2422.7435,3055.9529,3601.3968,3897.39,4031.644,4020.445
13,PLR133,anticipated_w,1,pre,1st,1002,4810,5,1,4326.026,4539.8429,4425.0023,4569.0079,4797.4869,4706.3298,4879.3508,4858.1361,4905.5079,5092.4398,5003.1152,4888.7469,3114.8313,2536.4555,2559.9005,2737.6963,3060.6178,3773.733,4129.3141,4253.7592,4410.3298
14,PLR133,anticipated_w,1,pre,2nd,1003,4810,6,0,4922.913,4702.6911,4736.6574,5045.4709,4903.8901,4882.4974,4877.1832,4596.1257,4744.089,4861.2147,5044.356,4747.3521,2894.8372,2520.2385,2465.199,2327.2356,2748.2246,3428.4979,3718.4503,3899.9529,4068.6387
15,PLR133,unexpected_b,0,pre,1st,1002,4808,4,0,4245.3752,4357.0681,4390.7903,4480.2975,4662.1099,4593.8325,4731.5131,4798.534,4796.2932,4952,4838.6963,4936.3944,5048.9414,5273.1884,5565.8566,5562.3026,4310.0713,3360.6947,3690.0471,3449.0524,3428.4084
16,PLR133,anticipated_w,1,pre,2nd,1002,4810,7,1,3203.264,3877.4346,4056.0403,4195.4953,4350.0785,4209.6283,4349.5393,4560.2147,4669.7539,4890.1571,4848.5759,4691.518,2874.6321,2341.8115,2139.4879,2399.6223,3154.267,3668.7592,3975.4241,4187.7801,4287.2984
17,PLR133,anticipated_b,0,pre,2nd,1003,4812,6,1,4960.046,5022.6963,5090.5,5279.8325,5262.6283,5262.0105,5381.9738,5524.9634,5662.2199,5616.2199,5384.6178,5455.4326,5605.8112,5650.4479,5715.7559,5908.8245,5362.3455,3233.2932,3220.1257,3884.089,4219.8953
18,PLR133,anticipated_b,0,pre,2nd,1003,4810,7,1,4938.13,4990.7699,4958.4619,5236.8848,5083.4921,5147.2304,5312.9738,5341.6335,5396.0838,5412.1885,5370.7173,5458.0603,5539.7568,5898.4239,5998.9162,5748.5812,4124.1571,4103.9112,4477.3322,4810.2251,4871.7696
19,PLR133,anticipated_b,0,pre,2nd,1003,4810,8,1,5485.952,5510.2827,5401.4712,5549.8848,5430.9058,5476.1152,5574.6963,5631.3298,5519.9529,5632.7592,5761.8586,5919.8925,6110.0013,6219.1419,6317.5104,6032.6178,4643.8429,3432.7775,3566.6294,4181.4869,4192.5026
20,PLR133,anticipated_b,0,pre,2nd,1002,4810,9,1,4995.566,5027.8901,4884.0589,5099.9634,4920.0209,4434.1832,3960.8168,3681.9424,4198.5707,4602.5497,4869.9319,5065.8692,5232.2908,5471.4293,5687.3927,5508.2461,4146.4555,4321.089,4711.8953,4639.6343,4619.1635
21,PLR133,unexpected_b,0,pre,1st,1002,4810,5,0,4060.632,4633.7644,4616.9812,4716.3602,4842.1832,4792.4319,4921.0681,5091.911,5132.822,5228.8743,5242.4921,5036.7691,5222.1383,5530.9282,5863.4493,5739.7801,3980.1885,3344.5497,3930.2932,4249.0376,4153.0478
